i_tour,pano_name,angle
0,floor_01_partial_room_01_pano_14.jpg,-36.63856501
0,floor_01_partial_room_16_pano_23.jpg,-44.17389889
0,floor_01_partial_room_01_pano_15.jpg,0.662377491
0,floor_01_partial_room_10_pano_22.jpg,1.12140629
0,floor_01_partial_room_15_pano_33.jpg,8.3621941
0,floor_01_partial_room_05_pano_26.jpg,29.50453555
0,floor_01_partial_room_19_pano_27.jpg,24.46160971
0,floor_01_partial_room_15_pano_34.jpg,2.918475921
0,floor_01_partial_room_02_pano_29.jpg,-34.39495309
0,floor_01_partial_room_17_pano_8.jpg,-0.077424524
0,floor_01_partial_room_19_pano_28.jpg,0.386929781
0,floor_01_partial_room_10_pano_17.jpg,-0.181053005
0,floor_01_partial_room_10_pano_16.jpg,1.706224266
0,floor_01_partial_room_12_pano_3.jpg,-1.690879658
0,floor_01_partial_room_17_pano_7.jpg,-33.63757969
0,floor_01_partial_room_07_pano_19.jpg,1.173727415
0,floor_01_partial_room_07_pano_18.jpg,11.22931516
0,floor_01_partial_room_06_pano_11.jpg,-4.056611994
0,floor_01_partial_room_09_pano_5.jpg,-0.429361545
0,floor_01_partial_room_09_pano_4.jpg,-34.49541185
0,floor_01_partial_room_06_pano_10.jpg,-3.204577285
0,floor_01_partial_room_06_pano_12.jpg,1.092055617
0,floor_01_partial_room_09_pano_6.jpg,17.01102656
0,floor_01_partial_room_11_pano_25.jpg,-0.950911759
0,floor_01_partial_room_11_pano_24.jpg,-26.79231539
0,floor_01_partial_room_04_pano_32.jpg,-3.213169138
0,floor_01_partial_room_14_pano_21.jpg,32.24221039
0,floor_01_partial_room_13_pano_9.jpg,1.219388564
0,floor_01_partial_room_03_pano_13.jpg,-8.780625792
0,floor_01_partial_room_09_pano_2.jpg,-0.506890517
0,floor_01_partial_room_08_pano_31.jpg,-23.51870529
0,floor_01_partial_room_18_pano_20.jpg,41.22989948
1,floor_01_partial_room_04_pano_11.jpg,1.248721409
1,floor_02_partial_room_09_pano_61.jpg,4.42831211
1,floor_01_partial_room_04_pano_10.jpg,-5.830489596
1,floor_02_partial_room_02_pano_42.jpg,-0.100092807
1,floor_02_partial_room_10_pano_64.jpg,4.659023124
1,floor_01_partial_room_04_pano_12.jpg,1.908284213
1,floor_01_partial_room_04_pano_13.jpg,-2.263356862
1,floor_02_partial_room_10_pano_63.jpg,4.512577944
1,floor_01_partial_room_04_pano_9.jpg,1.758311083
1,floor_02_partial_room_12_pano_43.jpg,0.948569058
1,floor_02_partial_room_02_pano_44.jpg,4.587399724
1,floor_02_partial_room_05_pano_48.jpg,-2.203121082
1,floor_02_partial_room_10_pano_62.jpg,-44.13919332
1,floor_02_partial_room_06_pano_39.jpg,-1.552797429
1,floor_01_partial_room_03_pano_30.jpg,-3.465350128
1,floor_02_partial_room_09_pano_58.jpg,3.362731786
1,floor_02_partial_room_09_pano_59.jpg,-0.954410646
1,floor_01_partial_room_06_pano_20.jpg,7.627714148
1,floor_02_partial_room_06_pano_38.jpg,-7.489461318
1,floor_02_partial_room_08_pano_50.jpg,5.276603432
1,floor_01_partial_room_09_pano_26.jpg,2.243848001
1,floor_02_partial_room_11_pano_40.jpg,-0.008200292
1,floor_01_partial_room_07_pano_15.jpg,-0.184211334
1,floor_01_partial_room_07_pano_14.jpg,0.752700671
1,floor_02_partial_room_11_pano_41.jpg,9.688656
1,floor_01_partial_room_10_pano_21.jpg,2.320771493
1,floor_01_partial_room_07_pano_16.jpg,4.516186463
1,floor_02_partial_room_04_pano_54.jpg,3.953527517
1,floor_02_partial_room_02_pano_36.jpg,-0.018530726
1,floor_01_partial_room_05_pano_7.jpg,1.279214113
1,floor_02_partial_room_04_pano_53.jpg,1.705932015
1,floor_01_partial_room_05_pano_5.jpg,7.170280698
1,floor_02_partial_room_04_pano_52.jpg,1.81973364
1,floor_01_partial_room_05_pano_4.jpg,14.46045759
1,floor_01_partial_room_02_pano_31.jpg,-0.516567039
1,floor_01_partial_room_02_pano_32.jpg,5.554733711
1,floor_02_partial_room_01_pano_65.jpg,-12.67819784
1,floor_01_partial_room_02_pano_33.jpg,2.818292571
1,floor_01_partial_room_09_pano_29.jpg,-1.601120706
1,floor_02_partial_room_03_pano_55.jpg,0.45527509
1,floor_01_partial_room_09_pano_28.jpg,1.500976963
1,floor_01_partial_room_02_pano_34.jpg,8.499394823
1,floor_02_partial_room_03_pano_56.jpg,-22.64890397
1,floor_02_partial_room_08_pano_49.jpg,3.84372924
1,floor_01_partial_room_02_pano_35.jpg,1.343841155
1,floor_01_partial_room_08_pano_22.jpg,0.755073611
1,floor_02_partial_room_05_pano_46.jpg,-7.916162101
1,floor_02_partial_room_05_pano_47.jpg,-20.08873574
1,floor_01_partial_room_08_pano_23.jpg,5.941193008
